order_id,customer_id,product,category,quantity,price,order_date,country,total
O1072,C001,Monitor,Computer,3,999,2024-02-22,UK,2997
O1073,C002,Headphones,Audio,1,999,2024-02-23,France,999
O1074,C005,Mouse,Accessory,5,1299,2024-02-24,UK,6495
O1075,C002,Keyboard,Accessory,4,299,2024-02-24,China,1196
O1076,C004,Phone,Mobile,2,599,2024-02-25,US,1198
O1077,C004,Mouse,Accessory,1,1299,2024-02-26,UK,1299
O1078,C007,Phone,Mobile,1,599,2024-02-27,UK,599
O1079,C004,Monitor,Computer,2,299,2024-02-27,UK,598
O1080,C007,Headphones,Audio,4,999,2024-02-28,US,3996
O1081,C004,Laptop,Computer,1,99,2024-02-29,UK,99
O1082,C005,Headphones,Audio,1,999,2024-02-29,Germany,999
O1083,C008,Mouse,Accessory,5,1299,2024-03-01,US,6495
O1084,C007,Phone,Mobile,4,1999,2024-03-02,UK,7996
O1085,C003,Phone,Mobile,1,99,2024-03-03,US,99
O1086,C006,Keyboard,Accessory,4,1299,2024-03-03,France,5196
O1087,C001,Phone,Mobile,2,299,2024-03-04,UK,598
O1088,C004,Keyboard,Accessory,3,99,2024-03-05,UK,297
O1089,C002,Monitor,Computer,1,1299,2024-03-06,UK,1299
O1090,C008,Laptop,Computer,5,299,2024-03-06,France,1495
O1091,C004,Mouse,Accessory,2,999,2024-03-07,France,1998
O1092,C002,Keyboard,Accessory,4,1999,2024-03-08,US,7996
O1093,C006,Laptop,Computer,2,299,2024-03-09,Germany,598
O1094,C006,Phone,Mobile,1,599,2024-03-09,Germany,599
O1095,C006,Phone,Mobile,4,299,2024-03-10,US,1196
O1096,C002,Laptop,Computer,3,299,2024-03-11,Germany,897
O1097,C004,Phone,Mobile,2,1999,2024-03-11,UK,3998
O1098,C006,Monitor,Computer,1,599,2024-03-12,UK,599
O1099,C005,Monitor,Computer,5,1299,2024-03-13,UK,6495
O1100,C007,Laptop,Computer,4,1299,2024-03-14,UK,5196
O1101,C002,Keyboard,Accessory,2,299,2024-03-14,US,598
O1102,C002,Keyboard,Accessory,2,599,2024-03-15,Germany,1198
O1103,C004,Laptop,Computer,3,599,2024-03-16,UK,1797
O1104,C002,Keyboard,Accessory,3,1999,2024-03-17,UK,5997
O1105,C002,Keyboard,Accessory,5,999,2024-03-17,US,4995
O1106,C006,Monitor,Computer,5,1299,2024-03-18,Germany,6495
O1107,C004,Keyboard,Accessory,1,1999,2024-03-19,UK,1999
O1108,C006,Headphones,Audio,1,99,2024-03-19,US,99
O1109,C007,Mouse,Accessory,5,1299,2024-03-20,UK,6495
O1110,C008,Phone,Mobile,5,1999,2024-03-21,UK,9995
O1111,C007,Headphones,Audio,4,1299,2024-03-22,China,5196
O1112,C008,Keyboard,Accessory,3,999,2024-03-22,China,2997
O1113,C006,Monitor,Computer,1,99,2024-03-23,UK,99
O1114,C007,Laptop,Computer,3,999,2024-03-24,China,2997
O1115,C004,Keyboard,Accessory,3,99,2024-03-25,US,297
O1116,C001,Monitor,Computer,5,299,2024-03-25,Germany,1495
O1117,C006,Mouse,Accessory,4,1999,2024-03-26,US,7996
O1118,C008,Keyboard,Accessory,2,99,2024-03-27,US,198
O1119,C005,Laptop,Computer,4,999,2024-03-28,US,3996
O1120,C008,Monitor,Computer,4,1299,2024-03-28,France,5196
O1121,C005,Monitor,Computer,3,99,2024-03-29,UK,297
O1122,C002,Monitor,Computer,4,1999,2024-03-30,UK,7996
O1123,C007,Mouse,Accessory,1,99,2024-03-30,UK,99
O1124,C005,Keyboard,Accessory,3,599,2024-03-31,France,1797
O1125,C008,Mouse,Accessory,1,1299,2024-04-01,UK,1299
O1126,C002,Phone,Mobile,2,1999,2024-04-02,France,3998
O1127,C001,Phone,Mobile,3,1999,2024-04-02,China,5997
O1128,C004,Keyboard,Accessory,2,299,2024-04-03,UK,598
O1129,C004,Mouse,Accessory,3,999,2024-04-04,France,2997
O1130,C004,Laptop,Computer,5,299,2024-04-05,US,1495
O1131,C005,Monitor,Computer,4,1999,2024-04-05,Germany,7996
O1132,C001,Monitor,Computer,5,1299,2024-04-06,UK,6495
O1133,C005,Keyboard,Accessory,2,99,2024-04-07,France,198
O1134,C007,Phone,Mobile,4,99,2024-04-08,Germany,396
O1135,C005,Phone,Mobile,3,1299,2024-04-08,Germany,3897
O1136,C001,Monitor,Computer,4,1999,2024-04-09,France,7996
O1137,C001,Keyboard,Accessory,1,99,2024-04-10,US,99
O1138,C007,Mouse,Accessory,4,99,2024-04-10,US,396
O1139,C001,Phone,Mobile,1,99,2024-04-11,Germany,99
O1140,C008,Mouse,Accessory,4,999,2024-04-12,US,3996
O1141,C001,Phone,Mobile,1,999,2024-04-13,UK,999
O1142,C004,Phone,Mobile,2,599,2024-04-13,Germany,1198
O1143,C008,Headphones,Audio,5,299,2024-04-14,France,1495
O1144,C008,Phone,Mobile,3,1299,2024-04-15,France,3897
O1145,C007,Laptop,Computer,4,1299,2024-04-16,UK,5196
O1146,C003,Keyboard,Accessory,5,1299,2024-04-16,France,6495
O1147,C003,Keyboard,Accessory,3,599,2024-04-17,UK,1797
O1148,C001,Mouse,Accessory,3,999,2024-04-18,France,2997
O1149,C008,Phone,Mobile,1,1999,2024-04-18,UK,1999
O1150,C003,Laptop,Computer,2,1999,2024-04-19,France,3998
O1151,C003,Mouse,Accessory,2,599,2024-04-20,China,1198
O1152,C001,Headphones,Audio,5,1999,2024-04-21,UK,9995
O1153,C003,Mouse,Accessory,2,1299,2024-04-21,China,2598
O1154,C005,Mouse,Accessory,4,299,2024-04-22,US,1196
O1155,C002,Phone,Mobile,2,99,2024-04-23,Germany,198
O1156,C007,Headphones,Audio,5,999,2024-04-24,France,4995
O1157,C002,Mouse,Accessory,2,999,2024-04-24,US,1998
O1158,C001,Laptop,Computer,4,599,2024-04-25,France,2396
O1159,C004,Laptop,Computer,1,999,2024-04-26,Germany,999
O1160,C007,Keyboard,Accessory,5,1299,2024-04-27,US,6495
O1161,C001,Headphones,Audio,1,1999,2024-04-27,UK,1999
O1162,C008,Headphones,Audio,1,1299,2024-04-28,France,1299
O1163,C004,Keyboard,Accessory,1,599,2024-04-29,Germany,599
O1164,C002,Mouse,Accessory,3,1299,2024-04-29,France,3897
O1165,C001,Headphones,Audio,3,1999,2024-04-30,France,5997
O1166,C008,Laptop,Computer,1,299,2024-05-01,US,299
O1167,C007,Laptop,Computer,5,599,2024-05-02,Germany,2995
O1168,C007,Phone,Mobile,4,299,2024-05-02,UK,1196
O1169,C006,Headphones,Audio,4,99,2024-05-03,US,396
O1170,C008,Mouse,Accessory,2,299,2024-05-04,UK,598
O1171,C005,Keyboard,Accessory,5,99,2024-05-05,UK,495
O1172,C003,Keyboard,Accessory,3,99,2024-05-05,UK,297
O1173,C004,Mouse,Accessory,1,299,2024-05-06,UK,299
O1174,C008,Monitor,Computer,2,599,2024-05-07,France,1198
O1175,C006,Phone,Mobile,4,1999,2024-05-08,UK,7996
O1176,C003,Keyboard,Accessory,3,1299,2024-05-08,US,3897
O1177,C003,Headphones,Audio,3,1299,2024-05-09,UK,3897
O1178,C001,Phone,Mobile,1,1999,2024-05-10,UK,1999
O1179,C003,Headphones,Audio,4,99,2024-05-10,UK,396
O1180,C005,Laptop,Computer,5,99,2024-05-11,UK,495
O1181,C007,Phone,Mobile,3,599,2024-05-12,US,1797
O1182,C006,Keyboard,Accessory,1,999,2024-05-13,France,999
O1183,C003,Phone,Mobile,5,299,2024-05-13,US,1495
O1184,C001,Phone,Mobile,4,99,2024-05-14,US,396
O1185,C005,Phone,Mobile,3,1299,2024-05-15,UK,3897
O1186,C002,Monitor,Computer,5,599,2024-05-16,Germany,2995
O1187,C007,Phone,Mobile,5,299,2024-05-16,US,1495
O1188,C007,Headphones,Audio,5,599,2024-05-17,US,2995
O1189,C006,Laptop,Computer,3,299,2024-05-18,UK,897
O1190,C007,Mouse,Accessory,3,299,2024-05-18,UK,897
O1191,C003,Phone,Mobile,2,1999,2024-05-19,UK,3998
O1192,C001,Keyboard,Accessory,4,99,2024-05-20,UK,396
O1193,C007,Phone,Mobile,1,599,2024-05-21,US,599
O1194,C007,Keyboard,Accessory,5,599,2024-05-21,US,2995
O1195,C002,Headphones,Audio,2,1999,2024-05-22,US,3998
O1196,C002,Keyboard,Accessory,1,1299,2024-05-23,France,1299
O1197,C004,Mouse,Accessory,2,1299,2024-05-24,Germany,2598
O1198,C005,Laptop,Computer,3,99,2024-05-24,France,297
O1199,C003,Keyboard,Accessory,5,99,2024-05-25,China,495
O1200,C007,Keyboard,Accessory,1,999,2024-05-26,UK,999
O1201,C008,Laptop,Computer,1,1999,2024-05-27,UK,1999
O1202,C007,Mouse,Accessory,1,1299,2024-05-27,UK,1299
O1203,C001,Phone,Mobile,1,299,2024-05-28,US,299
O1204,C004,Keyboard,Accessory,1,599,2024-05-29,Germany,599
O1205,C005,Laptop,Computer,2,99,2024-05-29,UK,198
O1206,C008,Headphones,Audio,5,599,2024-05-30,Germany,2995
O1207,C004,Laptop,Computer,3,599,2024-05-31,UK,1797
O1208,C006,Headphones,Audio,3,999,2024-06-01,Germany,2997
O1209,C005,Mouse,Accessory,3,1299,2024-06-01,UK,3897
O1210,C007,Phone,Mobile,3,99,2024-06-02,UK,297
O1211,C007,Laptop,Computer,2,599,2024-06-03,US,1198
O1212,C005,Monitor,Computer,4,99,2024-06-04,UK,396
O1213,C007,Keyboard,Accessory,5,299,2024-06-04,UK,1495
O1214,C003,Mouse,Accessory,1,999,2024-06-05,UK,999
O1215,C005,Laptop,Computer,4,299,2024-06-06,Germany,1196
O1216,C004,Keyboard,Accessory,3,99,2024-06-06,US,297
O1217,C005,Laptop,Computer,4,99,2024-06-07,UK,396
O1218,C008,Headphones,Audio,5,1299,2024-06-08,US,6495
O1219,C007,Laptop,Computer,1,599,2024-06-09,France,599
O1220,C003,Monitor,Computer,1,599,2024-06-09,UK,599
O1221,C003,Laptop,Computer,5,299,2024-06-10,US,1495
O1222,C006,Laptop,Computer,5,999,2024-06-11,UK,4995
O1223,C004,Monitor,Computer,3,1999,2024-06-12,UK,5997
O1224,C002,Mouse,Accessory,1,599,2024-06-12,France,599
O1225,C002,Laptop,Computer,4,1299,2024-06-13,UK,5196
O1226,C005,Monitor,Computer,2,299,2024-06-14,US,598
O1227,C006,Keyboard,Accessory,2,299,2024-06-15,France,598
O1228,C001,Headphones,Audio,5,1999,2024-06-15,UK,9995
O1229,C005,Headphones,Audio,3,1299,2024-06-16,US,3897
O1230,C006,Laptop,Computer,2,999,2024-06-17,UK,1998
O1231,C004,Mouse,Accessory,1,1299,2024-06-17,China,1299
O1232,C004,Mouse,Accessory,5,999,2024-06-18,US,4995
O1233,C004,Keyboard,Accessory,4,1299,2024-06-19,Germany,5196
O1234,C004,Laptop,Computer,5,1299,2024-06-20,US,6495
O1235,C004,Headphones,Audio,4,99,2024-06-20,UK,396
O1236,C006,Mouse,Accessory,5,299,2024-06-21,US,1495
O1237,C006,Laptop,Computer,5,1299,2024-06-22,China,6495
O1238,C003,Mouse,Accessory,5,1999,2024-06-23,US,9995
O1239,C008,Monitor,Computer,4,1299,2024-06-23,Germany,5196
O1240,C002,Mouse,Accessory,4,599,2024-06-24,Germany,2396
O1241,C007,Headphones,Audio,5,299,2024-06-25,UK,1495
O1242,C004,Phone,Mobile,2,599,2024-06-26,UK,1198
O1243,C001,Keyboard,Accessory,3,299,2024-06-26,US,897
O1244,C007,Keyboard,Accessory,3,599,2024-06-27,US,1797
O1245,C006,Headphones,Audio,3,1299,2024-06-28,Germany,3897
O1246,C001,Mouse,Accessory,4,1299,2024-06-28,Germany,5196
O1247,C001,Laptop,Computer,4,99,2024-06-29,UK,396
O1248,C001,Mouse,Accessory,2,1999,2024-06-30,UK,3998
O1249,C003,Headphones,Audio,3,599,2024-07-01,France,1797
O1250,C006,Keyboard,Accessory,3,999,2024-07-01,UK,2997
O1251,C001,Mouse,Accessory,5,99,2024-07-02,Germany,495
O1252,C004,Keyboard,Accessory,4,599,2024-07-03,US,2396
O1253,C005,Laptop,Computer,3,599,2024-07-04,France,1797
O1254,C001,Keyboard,Accessory,2,99,2024-07-04,UK,198
O1255,C003,Keyboard,Accessory,2,1299,2024-07-05,US,2598
O1256,C007,Phone,Mobile,3,599,2024-07-06,US,1797
O1257,C006,Phone,Mobile,4,1299,2024-07-06,US,5196
O1258,C008,Monitor,Computer,2,99,2024-07-07,UK,198
O1259,C003,Phone,Mobile,5,1299,2024-07-08,France,6495
O1260,C001,Keyboard,Accessory,2,299,2024-07-09,Germany,598
O1261,C006,Headphones,Audio,1,999,2024-07-09,UK,999
O1262,C005,Keyboard,Accessory,1,599,2024-07-10,UK,599
O1263,C001,Headphones,Audio,4,1999,2024-07-11,UK,7996
O1264,C003,Headphones,Audio,3,999,2024-07-12,US,2997
O1265,C002,Phone,Mobile,4,1299,2024-07-12,US,5196
O1266,C004,Mouse,Accessory,4,599,2024-07-13,US,2396
O1267,C008,Laptop,Computer,4,1299,2024-07-14,UK,5196
O1268,C007,Phone,Mobile,4,299,2024-07-15,UK,1196
O1269,C003,Phone,Mobile,5,99,2024-07-15,US,495
O1270,C006,Mouse,Accessory,5,599,2024-07-16,US,2995
O1271,C008,Laptop,Computer,2,299,2024-07-17,China,598
O1272,C008,Keyboard,Accessory,1,299,2024-07-17,UK,299
O1273,C008,Monitor,Computer,4,599,2024-07-18,France,2396
O1274,C001,Monitor,Computer,2,1299,2024-07-19,US,2598
O1275,C004,Keyboard,Accessory,1,1999,2024-07-20,US,1999
O1276,C001,Phone,Mobile,3,299,2024-07-20,France,897
O1277,C006,Laptop,Computer,5,999,2024-07-21,France,4995
O1278,C001,Phone,Mobile,1,299,2024-07-22,China,299
O1279,C002,Headphones,Audio,3,1999,2024-07-23,UK,5997
O1280,C004,Phone,Mobile,1,1299,2024-07-23,UK,1299
O1281,C004,Phone,Mobile,5,1299,2024-07-24,France,6495
O1282,C006,Keyboard,Accessory,5,999,2024-07-25,US,4995
O1283,C007,Keyboard,Accessory,2,299,2024-07-26,UK,598
O1284,C002,Keyboard,Accessory,4,1299,2024-07-26,UK,5196
O1285,C003,Monitor,Computer,1,1999,2024-07-27,UK,1999
O1286,C001,Headphones,Audio,1,599,2024-07-28,Germany,599
O1287,C005,Keyboard,Accessory,3,99,2024-07-28,UK,297
O1288,C001,Laptop,Computer,5,99,2024-07-29,UK,495
O1289,C008,Monitor,Computer,1,99,2024-07-30,UK,99
O1290,C001,Mouse,Accessory,5,299,2024-07-31,UK,1495
O1291,C003,Laptop,Computer,1,999,2024-07-31,UK,999
O1292,C001,Laptop,Computer,2,1299,2024-08-01,US,2598
O1293,C002,Keyboard,Accessory,4,599,2024-08-02,UK,2396
O1294,C002,Mouse,Accessory,1,1999,2024-08-03,Germany,1999
O1295,C004,Mouse,Accessory,5,599,2024-08-03,UK,2995
O1296,C006,Monitor,Computer,2,1999,2024-08-04,US,3998
O1297,C007,Mouse,Accessory,1,299,2024-08-05,Germany,299
O1298,C005,Headphones,Audio,3,99,2024-08-05,France,297
O1299,C008,Keyboard,Accessory,4,299,2024-08-06,US,1196
O1300,C001,Mouse,Accessory,1,999,2024-08-07,UK,999
O1301,C001,Monitor,Computer,2,999,2024-08-08,UK,1998
O1302,C003,Headphones,Audio,3,1999,2024-08-08,France,5997
O1303,C006,Phone,Mobile,2,1299,2024-08-09,China,2598
O1304,C002,Phone,Mobile,2,1299,2024-08-10,France,2598
O1305,C005,Headphones,Audio,3,1999,2024-08-11,US,5997
O1306,C004,Monitor,Computer,2,999,2024-08-11,France,1998
O1307,C002,Headphones,Audio,3,999,2024-08-12,US,2997
O1308,C008,Keyboard,Accessory,1,999,2024-08-13,UK,999
O1309,C006,Keyboard,Accessory,3,299,2024-08-14,US,897
O1310,C008,Phone,Mobile,3,999,2024-08-14,China,2997
O1311,C007,Mouse,Accessory,4,599,2024-08-15,UK,2396
O1312,C004,Monitor,Computer,3,99,2024-08-16,France,297
O1313,C007,Phone,Mobile,3,999,2024-08-16,UK,2997
O1314,C003,Mouse,Accessory,1,1999,2024-08-17,US,1999
O1315,C008,Mouse,Accessory,4,99,2024-08-18,UK,396
O1316,C003,Keyboard,Accessory,5,299,2024-08-19,US,1495
O1317,C001,Laptop,Computer,1,1999,2024-08-19,France,1999
O1318,C007,Laptop,Computer,1,99,2024-08-20,UK,99
O1319,C006,Headphones,Audio,5,1999,2024-08-21,France,9995
O1320,C008,Keyboard,Accessory,3,299,2024-08-22,France,897
O1321,C005,Mouse,Accessory,2,599,2024-08-22,Germany,1198
O1322,C004,Monitor,Computer,4,299,2024-08-23,UK,1196
O1323,C002,Laptop,Computer,2,299,2024-08-24,UK,598
O1324,C006,Mouse,Accessory,5,1999,2024-08-24,UK,9995
O1325,C006,Laptop,Computer,1,1299,2024-08-25,China,1299
O1326,C003,Laptop,Computer,1,999,2024-08-26,Germany,999
O1327,C007,Laptop,Computer,4,999,2024-08-27,US,3996
O1328,C008,Monitor,Computer,1,599,2024-08-27,Germany,599
O1329,C008,Keyboard,Accessory,1,599,2024-08-28,US,599
O1330,C001,Monitor,Computer,4,999,2024-08-29,US,3996
O1331,C001,Phone,Mobile,4,1299,2024-08-30,UK,5196
O1332,C004,Mouse,Accessory,5,999,2024-08-30,France,4995
O1333,C003,Keyboard,Accessory,1,1299,2024-08-31,UK,1299
O1334,C006,Keyboard,Accessory,1,599,2024-09-01,Germany,599
O1335,C008,Keyboard,Accessory,5,99,2024-09-02,France,495
O1336,C005,Keyboard,Accessory,3,1999,2024-09-02,France,5997
O1337,C003,Monitor,Computer,3,599,2024-09-03,UK,1797
O1338,C004,Keyboard,Accessory,3,599,2024-09-04,UK,1797
O1339,C004,Headphones,Audio,5,299,2024-09-04,UK,1495
O1340,C003,Mouse,Accessory,1,299,2024-09-05,UK,299
O1341,C004,Keyboard,Accessory,5,299,2024-09-06,UK,1495
O1342,C003,Mouse,Accessory,5,1999,2024-09-07,Germany,9995
O1343,C002,Headphones,Audio,3,299,2024-09-07,US,897
O1344,C003,Headphones,Audio,2,1299,2024-09-08,UK,2598
O1345,C007,Mouse,Accessory,1,999,2024-09-09,UK,999
O1346,C003,Laptop,Computer,3,99,2024-09-10,US,297
O1347,C004,Phone,Mobile,2,599,2024-09-10,US,1198
O1348,C008,Laptop,Computer,2,1299,2024-09-11,US,2598
O1349,C007,Laptop,Computer,4,99,2024-09-12,Germany,396
O1350,C004,Monitor,Computer,1,1299,2024-09-13,US,1299
O1351,C001,Laptop,Computer,2,1299,2024-09-13,China,2598
O1352,C001,Keyboard,Accessory,3,599,2024-09-14,Germany,1797
O1353,C008,Monitor,Computer,4,999,2024-09-15,UK,3996
O1354,C008,Monitor,Computer,1,299,2024-09-15,Germany,299
O1355,C007,Headphones,Audio,5,1999,2024-09-16,UK,9995
O1356,C002,Laptop,Computer,3,999,2024-09-17,Germany,2997
O1357,C008,Headphones,Audio,2,1999,2024-09-18,UK,3998
O1358,C001,Mouse,Accessory,2,599,2024-09-18,Germany,1198
O1359,C003,Phone,Mobile,3,599,2024-09-19,Germany,1797
O1360,C004,Monitor,Computer,2,599,2024-09-20,Germany,1198
O1361,C001,Mouse,Accessory,4,99,2024-09-21,France,396
O1362,C001,Mouse,Accessory,1,1999,2024-09-21,UK,1999
O1363,C002,Keyboard,Accessory,4,999,2024-09-22,UK,3996
O1364,C007,Phone,Mobile,2,999,2024-09-23,US,1998
O1365,C007,Mouse,Accessory,5,1299,2024-09-23,UK,6495
O1366,C006,Mouse,Accessory,1,1299,2024-09-24,France,1299
O1367,C002,Phone,Mobile,1,1299,2024-09-25,UK,1299
O1368,C003,Phone,Mobile,3,599,2024-09-26,China,1797
O1369,C007,Mouse,Accessory,3,999,2024-09-26,US,2997
O1370,C004,Phone,Mobile,5,1999,2024-09-27,Germany,9995
O1371,C008,Mouse,Accessory,1,599,2024-09-28,UK,599
O1372,C002,Mouse,Accessory,5,99,2024-09-29,Germany,495
O1373,C008,Keyboard,Accessory,3,1299,2024-09-29,Germany,3897
O1374,C001,Laptop,Computer,3,599,2024-09-30,US,1797
O1375,C004,Mouse,Accessory,1,599,2024-10-01,US,599
O1376,C004,Headphones,Audio,4,99,2024-10-02,France,396
O1377,C001,Monitor,Computer,2,299,2024-10-02,UK,598
O1378,C002,Laptop,Computer,3,999,2024-10-03,US,2997
O1379,C001,Laptop,Computer,3,1999,2024-10-04,UK,5997
O1380,C008,Laptop,Computer,4,299,2024-10-04,UK,1196
O1381,C006,Keyboard,Accessory,4,1299,2024-10-05,UK,5196
O1382,C004,Mouse,Accessory,5,599,2024-10-06,UK,2995
O1383,C005,Keyboard,Accessory,5,99,2024-10-07,UK,495
O1384,C005,Mouse,Accessory,2,99,2024-10-07,UK,198
O1385,C008,Keyboard,Accessory,2,999,2024-10-08,China,1998
O1386,C003,Keyboard,Accessory,1,299,2024-10-09,US,299
O1387,C007,Monitor,Computer,5,999,2024-10-10,China,4995
O1388,C001,Headphones,Audio,3,599,2024-10-10,US,1797
O1389,C001,Keyboard,Accessory,5,999,2024-10-11,UK,4995
O1390,C003,Monitor,Computer,3,1999,2024-10-12,US,5997
O1391,C003,Phone,Mobile,4,99,2024-10-13,US,396
O1392,C008,Headphones,Audio,5,99,2024-10-13,UK,495
O1393,C008,Keyboard,Accessory,4,1299,2024-10-14,US,5196
O1394,C003,Laptop,Computer,2,1299,2024-10-15,UK,2598
O1395,C004,Phone,Mobile,2,599,2024-10-15,US,1198
O1396,C008,Phone,Mobile,1,1999,2024-10-16,France,1999
O1397,C006,Monitor,Computer,5,299,2024-10-17,UK,1495
O1398,C008,Phone,Mobile,4,999,2024-10-18,UK,3996
O1399,C001,Headphones,Audio,3,599,2024-10-18,France,1797
O1400,C008,Keyboard,Accessory,2,1299,2024-10-19,US,2598
O1401,C004,Keyboard,Accessory,2,999,2024-10-20,UK,1998
O1402,C003,Laptop,Computer,3,1299,2024-10-21,China,3897
O1403,C001,Monitor,Computer,4,999,2024-10-21,UK,3996
O1404,C008,Laptop,Computer,4,299,2024-10-22,France,1196
O1405,C004,Phone,Mobile,5,599,2024-10-23,China,2995
O1406,C006,Laptop,Computer,5,999,2024-10-23,UK,4995
O1407,C008,Headphones,Audio,1,1999,2024-10-24,UK,1999
O1408,C004,Keyboard,Accessory,2,99,2024-10-25,UK,198
O1409,C006,Phone,Mobile,5,1999,2024-10-26,UK,9995
O1410,C003,Laptop,Computer,4,1999,2024-10-26,UK,7996
O1411,C008,Monitor,Computer,3,99,2024-10-27,France,297
O1412,C006,Headphones,Audio,4,1999,2024-10-28,UK,7996
O1413,C001,Headphones,Audio,2,999,2024-10-29,US,1998
O1414,C003,Laptop,Computer,4,999,2024-10-29,China,3996
O1415,C001,Keyboard,Accessory,1,999,2024-10-30,Germany,999
O1416,C005,Laptop,Computer,2,99,2024-10-31,US,198
O1417,C002,Phone,Mobile,3,1999,2024-11-01,UK,5997
O1418,C008,Laptop,Computer,1,99,2024-11-01,US,99
